trip_id,arrival_time,departure_time,stop_id,stop_sequence
WD_OUT_001,05:30:00,05:30:00,SRP,1
WD_OUT_001,05:31:00,05:31:00,CSA,2
WD_OUT_001,05:36:00,05:36:00,CES,3
WD_OUT_001,05:38:00,05:38:00,LES,4
WD_OUT_001,05:40:00,05:40:00,LPE,5
WD_OUT_001,05:42:00,05:42:00,MEI,6
WD_OUT_001,05:46:00,05:46:00,PAD,7
WD_OUT_001,05:50:00,05:50:00,COR,8
WD_OUT_001,05:52:00,05:52:00,MRC,9
WD_OUT_001,05:56:00,05:56:00,LOB,10
WD_OUT_001,05:58:00,05:58:00,MOI,11
WD_OUT_001,06:02:00,06:02:00,TRE,12
WD_OUT_001,06:06:00,06:06:00,VAC,13
WD_OUT_001,06:09:00,06:09:00,SOC,14
WD_OUT_001,06:10:00,06:10:00,CEI,15
WD_OUT_001,06:12:00,06:12:00,QPT,16
WD_OUT_001,06:14:00,06:14:00,POR,17
WD_OUT_001,06:16:00,06:16:00,VDF,18
WD_OUT_001,06:18:00,06:18:00,CBR,19
WD_OUT_001,06:19:00,06:19:00,FNM,20
WD_OUT_001,06:20:00,06:20:00,SOL,21
WD_OUT_001,06:22:00,06:22:00,SJO,22
WD_OUT_001,06:23:00,06:23:00,NMT,23
WD_OUT_001,06:24:00,06:24:00,ARR,24
WD_OUT_001,06:25:00,06:25:00,COL,25
WD_OUT_001,06:27:00,06:27:00,PAR,26
WD_OUT_001,06:28:00,06:28:00,PTG,27
WD_OUT_002,06:00:00,06:00:00,SRP,1
WD_OUT_002,06:01:00,06:01:00,CSA,2
WD_OUT_002,06:06:00,06:06:00,CES,3
WD_OUT_002,06:08:00,06:08:00,LES,4
WD_OUT_002,06:10:00,06:10:00,LPE,5
WD_OUT_002,06:12:00,06:12:00,MEI,6
WD_OUT_002,06:16:00,06:16:00,PAD,7
WD_OUT_002,06:20:00,06:20:00,COR,8
WD_OUT_002,06:22:00,06:22:00,MRC,9
WD_OUT_002,06:26:00,06:26:00,LOB,10
WD_OUT_002,06:28:00,06:28:00,MOI,11
WD_OUT_002,06:32:00,06:32:00,TRE,12
WD_OUT_002,06:36:00,06:36:00,VAC,13
WD_OUT_002,06:39:00,06:39:00,SOC,14
WD_OUT_002,06:40:00,06:40:00,CEI,15
WD_OUT_002,06:42:00,06:42:00,QPT,16
WD_OUT_002,06:44:00,06:44:00,POR,17
WD_OUT_002,06:46:00,06:46:00,VDF,18
WD_OUT_002,06:48:00,06:48:00,CBR,19
WD_OUT_002,06:49:00,06:49:00,FNM,20
WD_OUT_002,06:51:00,06:51:00,SOL,21
WD_OUT_002,06:52:00,06:52:00,SJO,22
WD_OUT_002,06:53:00,06:53:00,NMT,23
WD_OUT_002,06:55:00,06:55:00,ARR,24
WD_OUT_002,06:56:00,06:56:00,COL,25
